Time[s], Í¨µÀ 0
-0.724586, 1
-0.724081, 0
-0.723576, 1
-0.721922, 0
-0.721417, 1
-0.720912, 0
-0.720406, 1
-0.719901, 0
-0.718248, 1
-0.716594, 0
-0.714941, 1
-0.714436, 0
-0.712782, 1
-0.711128, 0
-0.710623, 1
-0.707921, 0
-0.707381, 1
-0.705762, 0
-0.704142, 1
-0.703602, 0
-0.703062, 1
-0.701443, 0
-0.700903, 1
-0.699283, 0
-0.698743, 1
-0.698204, 0
-0.696584, 1
-0.696045, 0
-0.694425, 1
-0.692806, 0
-0.691187, 1
-0.690647, 0
-0.690108, 1
-0.687410, 0
-0.686870, 1
-0.685251, 0
-0.683632, 1
-0.683092, 0
-0.682553, 1
-0.682013, 0
-0.681473, 1
-0.679854, 0
-0.678235, 1
-0.676616, 0
-0.676076, 1
-0.675536, 0
-0.673917, 1
-0.673378, 0
-0.671758, 1
-0.670138, 0
-0.669598, 1
-0.666899, 0
-0.666359, 1
-0.664739, 0
-0.663120, 1
-0.661500, 0
-0.659881, 1
-0.659341, 0
-0.658801, 1
-0.658262, 0
-0.657722, 1
-0.656103, 0
-0.654484, 1
-0.653944, 0
-0.653405, 1
-0.651786, 0
-0.650167, 1
-0.649628, 0
-0.649088, 1
-0.643280, 0
-0.641626, 1
-0.641121, 0
-0.640616, 1
-0.640110, 0
-0.638457, 1
-0.636803, 0
-0.635150, 1
-0.634645, 0
-0.632991, 1
-0.632486, 0
-0.631981, 1
-0.631476, 0
-0.629822, 1
-0.629317, 0
-0.628811, 1
-0.627158, 0
-0.626653, 1
-0.620847, 0
-0.620342, 1
-0.618688, 0
-0.618183, 1
-0.617678, 0
-0.616024, 1
-0.614371, 0
-0.612717, 1
-0.612212, 0
-0.611707, 1
-0.611202, 0
-0.609548, 1
-0.607895, 0
-0.607389, 1
-0.606884, 0
-0.606379, 1
-0.604725, 0
-0.604220, 1
-0.598416, 0
-0.597910, 1
-0.596257, 0
-0.595751, 1
-0.595246, 0
-0.593593, 1
-0.593088, 0
-0.591434, 1
-0.590929, 0
-0.589275, 1
-0.587622, 0
-0.587116, 1
-0.585463, 0
-0.584958, 1
-0.584453, 0
-0.582799, 1
-0.581146, 0
-0.580640, 1
-0.565266, 0
-0.563612, 1
-0.563107, 0
-0.562602, 1
-0.562097, 0
-0.560443, 1
-0.558790, 0
-0.557136, 1
-0.556631, 0
-0.554977, 1
-0.554472, 0
-0.553967, 1
-0.553462, 0
-0.551808, 1
-0.550155, 0
-0.548501, 1
-0.547996, 0
-0.547491, 1
-0.541687, 0
-0.541182, 1
-0.539528, 0
-0.539023, 1
-0.538518, 0
-0.536864, 1
-0.536359, 0
-0.535854, 1
-0.535349, 0
-0.534843, 1
-0.534338, 0
-0.532685, 1
-0.531031, 0
-0.530526, 1
-0.528873, 0
-0.527219, 1
-0.525565, 0
-0.525060, 1
-0.519255, 0
-0.518749, 1
-0.517096, 0
-0.516591, 1
-0.516085, 0
-0.515580, 1
-0.513927, 0
-0.512273, 1
-0.511768, 0
-0.510114, 1
-0.508461, 0
-0.507956, 1
-0.507450, 0
-0.506945, 1
-0.505292, 0
-0.503638, 1
-0.503133, 0
-0.502628, 1
-0.496825, 0
-0.496320, 1
-0.494666, 0
-0.494161, 1
-0.492507, 0
-0.492002, 1
-0.490349, 0
-0.489843, 1
-0.488190, 0
-0.487685, 1
-0.487180, 0
-0.486674, 1
-0.486169, 0
-0.485664, 1
-0.485159, 0
-0.484653, 1
-0.484148, 0
-0.483643, 1
-0.477837, 0
-0.477332, 1
-0.475679, 0
-0.475173, 1
-0.474668, 0
-0.473015, 1
-0.471361, 0
-0.469708, 1
-0.468054, 0
